IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,76.1,,,72.55,,79.31,76.1 [72.55 – 79.31],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.95,,,72.44,,79.14,75.95 [72.44 – 79.14],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.81,,,72.33,,78.98,75.81 [72.33 – 78.98],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.67,,,72.21,,78.82,75.67 [72.21 – 78.82],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.52,,,72.07,,78.66,75.52 [72.07 – 78.66],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.34,,,71.9,,78.47,75.34 [71.9 – 78.47],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.17,,,71.73,,78.31,75.17 [71.73 – 78.31],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.01,,,71.57,,78.15,75.01 [71.57 – 78.15],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.86,,,71.41,,78.02,74.86 [71.41 – 78.02],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.74,,,71.26,,77.92,74.74 [71.26 – 77.92],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.61,,,71.11,,77.81,74.61 [71.11 – 77.81],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.48,,,70.94,,77.72,74.48 [70.94 – 77.72],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.35,,,70.77,,77.62,74.35 [70.77 – 77.62],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,80.1,,,76.88,,82.98,80.1 [76.88 – 82.98],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.93,,,76.73,,82.79,79.93 [76.73 – 82.79],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.75,,,76.57,,82.59,79.75 [76.57 – 82.59],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.55,,,76.39,,82.39,79.55 [76.39 – 82.39],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.35,,,76.2,,82.18,79.35 [76.2 – 82.18],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.13,,,75.98,,81.96,79.13 [75.98 – 81.96],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.89,,,75.75,,81.73,78.89 [75.75 – 81.73],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.67,,,75.51,,81.52,78.67 [75.51 – 81.52],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.47,,,75.3,,81.34,78.47 [75.3 – 81.34],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.32,,,75.13,,81.19,78.32 [75.13 – 81.19],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.22,,,75.02,,81.12,78.22 [75.02 – 81.12],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.14,,,74.92,,81.06,78.14 [74.92 – 81.06],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ARM,Armenia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.06,,,74.81,,81,78.06 [74.81 – 81],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.4,,,76.94,,81.66,79.4 [76.94 – 81.66],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.29,,,76.85,,81.54,79.29 [76.85 – 81.54],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.18,,,76.75,,81.42,79.18 [76.75 – 81.42],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,79.07,,,76.64,,81.31,79.07 [76.64 – 81.31],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.96,,,76.52,,81.2,78.96 [76.52 – 81.2],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.85,,,76.4,,81.11,78.85 [76.4 – 81.11],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.74,,,76.27,,81.02,78.74 [76.27 – 81.02],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.63,,,76.13,,80.94,78.63 [76.13 – 80.94],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.51,,,75.97,,80.85,78.51 [75.97 – 80.85],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.4,,,75.81,,80.78,78.4 [75.81 – 80.78],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.29,,,75.65,,80.71,78.29 [75.65 – 80.71],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.18,,,75.49,,80.66,78.18 [75.49 – 80.66],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,AUT,Austria,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.08,,,75.32,,80.61,78.08 [75.32 – 80.61],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.53,,,81.35,,85.49,83.53 [81.35 – 85.49],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.53,,,81.38,,85.47,83.53 [81.38 – 85.47],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.53,,,81.4,,85.45,83.53 [81.4 – 85.45],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.41,,85.44,83.52 [81.41 – 85.44],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.41,,85.43,83.52 [81.41 – 85.43],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.42,,85.43,83.52 [81.42 – 85.43],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.41,,85.43,83.52 [81.41 – 85.43],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.4,,85.44,83.52 [81.4 – 85.44],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.52,,,81.38,,85.45,83.52 [81.38 – 85.45],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.51,,,81.35,,85.47,83.51 [81.35 – 85.47],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.51,,,81.32,,85.49,83.51 [81.32 – 85.49],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.51,,,81.28,,85.52,83.51 [81.28 – 85.52],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BEL,Belgium,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.51,,,81.24,,85.55,83.51 [81.24 – 85.55],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.68,,,72.28,,78.77,75.68 [72.28 – 78.77],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.53,,,72.16,,78.61,75.53 [72.16 – 78.61],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.38,,,72.02,,78.46,75.38 [72.02 – 78.46],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.23,,,71.88,,78.3,75.23 [71.88 – 78.3],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,75.08,,,71.73,,78.16,75.08 [71.73 – 78.16],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.93,,,71.56,,78.01,74.93 [71.56 – 78.01],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.77,,,71.39,,77.87,74.77 [71.39 – 77.87],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.61,,,71.21,,77.73,74.61 [71.21 – 77.73],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.46,,,71.03,,77.6,74.46 [71.03 – 77.6],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.3,,,70.84,,77.48,74.3 [70.84 – 77.48],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,74.14,,,70.63,,77.36,74.14 [70.63 – 77.36],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,73.98,,,70.42,,77.24,73.98 [70.42 – 77.24],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,73.81,,,70.2,,77.13,73.81 [70.2 – 77.13],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.42,,,75.35,,81.21,78.42 [75.35 – 81.21],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.32,,,75.27,,81.09,78.32 [75.27 – 81.09],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.22,,,75.18,,80.97,78.22 [75.18 – 80.97],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.11,,,75.08,,80.86,78.11 [75.08 – 80.86],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78,,,74.97,,80.76,78 [74.97 – 80.76],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.9,,,74.86,,80.66,77.9 [74.86 – 80.66],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.79,,,74.75,,80.56,77.79 [74.75 – 80.56],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.69,,,74.62,,80.47,77.69 [74.62 – 80.47],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.58,,,74.49,,80.39,77.58 [74.49 – 80.39],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.47,,,74.35,,80.31,77.47 [74.35 – 80.31],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.36,,,74.2,,80.24,77.36 [74.2 – 80.24],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.25,,,74.05,,80.17,77.25 [74.05 – 80.17],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,HRV,Croatia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.15,,,73.89,,80.1,77.15 [73.89 – 80.1],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.1,,,74.88,,81,78.1 [74.88 – 81],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.06,,,74.87,,80.94,78.06 [74.87 – 80.94],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,78.01,,,74.85,,80.87,78.01 [74.85 – 80.87],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.96,,,74.82,,80.81,77.96 [74.82 – 80.81],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.92,,,74.78,,80.76,77.92 [74.78 – 80.76],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.87,,,74.74,,80.71,77.87 [74.74 – 80.71],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.83,,,74.69,,80.67,77.83 [74.69 – 80.67],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.78,,,74.63,,80.63,77.78 [74.63 – 80.63],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.73,,,74.57,,80.6,77.73 [74.57 – 80.6],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.69,,,74.5,,80.58,77.69 [74.5 – 80.58],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.64,,,74.42,,80.56,77.64 [74.42 – 80.56],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.59,,,74.34,,80.54,77.59 [74.34 – 80.54],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,77.55,,,74.25,,80.53,77.55 [74.25 – 80.53],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.25,,,81.19,,85.13,83.25 [81.19 – 85.13],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.33,,,81.3,,85.18,83.33 [81.3 – 85.18],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.41,,,81.41,,85.24,83.41 [81.41 – 85.24],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.5,,,81.52,,85.3,83.5 [81.52 – 85.3],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.58,,,81.61,,85.38,83.58 [81.61 – 85.38],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.67,,,81.71,,85.46,83.67 [81.71 – 85.46],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.76,,,81.79,,85.55,83.76 [81.79 – 85.55],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.84,,,81.87,,85.64,83.84 [81.87 – 85.64],,,EN,2019-11-14T00:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,DNK,Denmark,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,83.93,,,81.94,,85.73,83.93 [81.94 – 85.73],,,EN,2019-11-14T00:00:00.000Z
