IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.9,,,15.7,,24.4,19.9 [15.7 – 24.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.3,,,15.3,,23.7,19.3 [15.3 – 23.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.8,,,14.8,,23,18.8 [14.8 – 23],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.2,,,14.3,,22.3,18.2 [14.3 – 22.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.6,,,13.8,,21.6,17.6 [13.8 – 21.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17,,,13.4,,21,17 [13.4 – 21],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.5,,,12.9,,20.3,16.5 [12.9 – 20.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16,,,12.4,,19.8,16 [12.4 – 19.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15.4,,,12,,19.2,15.4 [12 – 19.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.9,,,11.5,,18.7,14.9 [11.5 – 18.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.5,,,11.1,,18.2,14.5 [11.1 – 18.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14,,,10.7,,17.7,14 [10.7 – 17.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ALB,Albania,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,13.6,,,10.3,,17.3,13.6 [10.3 – 17.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.8,,,14.8,,23,18.8 [14.8 – 23],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.3,,,14.5,,22.4,18.3 [14.5 – 22.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.9,,,14.2,,21.9,17.9 [14.2 – 21.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.5,,,13.9,,21.4,17.5 [13.9 – 21.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.1,,,13.6,,21,17.1 [13.6 – 21],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.7,,,13.3,,20.5,16.7 [13.3 – 20.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.4,,,12.9,,20.1,16.4 [12.9 – 20.1],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16,,,12.6,,19.7,16 [12.6 – 19.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15.7,,,12.3,,19.3,15.7 [12.3 – 19.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15.4,,,12,,19,15.4 [12 – 19],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15,,,11.7,,18.7,15 [11.7 – 18.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.7,,,11.4,,18.5,14.7 [11.4 – 18.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.4,,,11.1,,18.2,14.4 [11.1 – 18.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.8,,,15.1,,22.8,18.8 [15.1 – 22.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.4,,,14.9,,22.3,18.4 [14.9 – 22.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18,,,14.6,,21.7,18 [14.6 – 21.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.6,,,14.3,,21.2,17.6 [14.3 – 21.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.3,,,14,,20.8,17.3 [14 – 20.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.9,,,13.7,,20.3,16.9 [13.7 – 20.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.5,,,13.4,,19.8,16.5 [13.4 – 19.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,16.1,,,13.1,,19.4,16.1 [13.1 – 19.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15.8,,,12.8,,19,15.8 [12.8 – 19],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15.4,,,12.5,,18.6,15.4 [12.5 – 18.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,15,,,12.2,,18.2,15 [12.2 – 18.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.7,,,11.8,,17.8,14.7 [11.8 – 17.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,AUT,Austria,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,14.3,,,11.5,,17.4,14.3 [11.5 – 17.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,21,,,18.1,,24.2,21 [18.1 – 24.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.7,,,17.9,,23.7,20.7 [17.9 – 23.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.4,,,17.7,,23.2,20.4 [17.7 – 23.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.1,,,17.4,,22.8,20.1 [17.4 – 22.8],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.8,,,17.2,,22.4,19.8 [17.2 – 22.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.5,,,17,,22,19.5 [17 – 22],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.2,,,16.7,,21.7,19.2 [16.7 – 21.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.9,,,16.4,,21.3,18.9 [16.4 – 21.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.5,,,16.2,,21,18.5 [16.2 – 21],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.2,,,15.9,,20.6,18.2 [15.9 – 20.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.9,,,15.6,,20.3,17.9 [15.6 – 20.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.6,,,15.3,,20,17.6 [15.3 – 20],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.3,,,15,,19.7,17.3 [15 – 19.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,23.7,,,18.9,,28.6,23.7 [18.9 – 28.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,23.2,,,18.6,,28.1,23.2 [18.6 – 28.1],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22.8,,,18.3,,27.5,22.8 [18.3 – 27.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22.4,,,18,,27,22.4 [18 – 27],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22,,,17.6,,26.6,22 [17.6 – 26.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,21.6,,,17.4,,26.1,21.6 [17.4 – 26.1],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,21.2,,,17,,25.6,21.2 [17 – 25.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.8,,,16.6,,25.2,20.8 [16.6 – 25.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.4,,,16.3,,24.9,20.4 [16.3 – 24.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20,,,15.9,,24.4,20 [15.9 – 24.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.6,,,15.5,,24,19.6 [15.5 – 24],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.3,,,15.2,,23.7,19.3 [15.2 – 23.7],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.9,,,14.9,,23.3,18.9 [14.9 – 23.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22.9,,,19.1,,27.1,22.9 [19.1 – 27.1],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22.5,,,18.8,,26.5,22.5 [18.8 – 26.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,22,,,18.4,,25.9,22 [18.4 – 25.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,21.6,,,18,,25.4,21.6 [18 – 25.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,21.1,,,17.7,,24.9,21.1 [17.7 – 24.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.7,,,17.2,,24.3,20.7 [17.2 – 24.3],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2007,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,20.2,,,16.9,,23.9,20.2 [16.9 – 23.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2006,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.8,,,16.5,,23.5,19.8 [16.5 – 23.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2005,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19.4,,,16.1,,23,19.4 [16.1 – 23],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2004,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,19,,,15.8,,22.6,19 [15.8 – 22.6],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2003,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.6,,,15.4,,22.2,18.6 [15.4 – 22.2],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2002,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,18.3,,,15,,21.9,18.3 [15 – 21.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2001,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,17.9,,,14.6,,21.5,17.9 [14.6 – 21.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2013,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,24.9,,,20.8,,29.4,24.9 [20.8 – 29.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2012,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,24.5,,,20.6,,28.9,24.5 [20.6 – 28.9],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2011,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,24.2,,,20.3,,28.4,24.2 [20.3 – 28.4],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2010,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,23.9,,,20.1,,28,23.9 [20.1 – 28],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2009,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,23.6,,,19.9,,27.5,23.6 [19.9 – 27.5],,,EN,2017-09-21T23:00:00.000Z
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2008,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,23.2,,,19.7,,27.2,23.2 [19.7 – 27.2],,,EN,2017-09-21T23:00:00.000Z
